id,artist,title,medium,year
15952,"warhol, andy",[no title],screenprint on paper,1967
29557,"turner, joseph mallord william",conway castle,graphite on paper,1799
25942,british (?) school,the noontide retreat,etching and engraving on paper,
58076,"turner, joseph mallord william",five sketches of a coastline or islands,graphite on paper,1835
34390,"turner, joseph mallord william",?tabley: men taking up nets,graphite on paper,1808
47810,"turner, joseph mallord william",[title not known],graphite on paper,1826
66661,"sherman, cindy",untitled,"photograph, gelatin silver print on paper",1976
40958,"turner, joseph mallord william",tantallon castle,graphite on paper,1818
63429,"dayes, edward",view of hastings from the east,"gouache, graphite and watercolour on paper",
122947,"flanagan, barry",funds: five,linocut and thumbprint on paper,1969
10811,"nolan, sir sidney",3. steve hart dressed as a girl,screenprint on paper,1970
4475,"flanagan, barry",no. 5 ‘71,"felt, wood and rope",1971
58923,"turner, joseph mallord william","the hezog friedrich-strasse, innsbruck",graphite on paper,1833
27613,"turner, joseph mallord william",a kneeling male nude with upraised head and arm in a landscape setting,chalk on paper,1794
64907,"turner, joseph mallord william",[inscriptions by turner],graphite on paper,1833
32346,"turner, joseph mallord william",composition study for the ‘death of adonis’,chalk on paper,1799
36166,"turner, joseph mallord william","a mine or quarry, probably near redruth",graphite on paper,1811
38794,"turner, joseph mallord william",knaresborough from the west,graphite on paper,1816
21279,"woodrow, bill",[colophon],linocut on paper,1994
64715,"turner, joseph mallord william",[title not known],watercolour on paper,1825
5096,"gentleman, david",ralph allen’s sham castle,lithograph on paper,1975
62219,"turner, joseph mallord william",mountains,graphite on paper,1844
56658,"turner, joseph mallord william","genoa, from the harbour",graphite on paper,1835
19809,"turner, joseph mallord william","exeter, engraved by t. jeavons",engraving on paper,1829
41500,"turner, joseph mallord william","view in the maurienne valley, savoy, on the road to the mont cenis pass",graphite on paper,1819
12388,"reynolds, sir joshua",a man’s head,oil paint on canvas,1771
64065,"turner, joseph mallord william",colour beginning,watercolour on paper,1820
37911,"turner, joseph mallord william","the new gate, winchelsea",graphite on paper,1816
14154,"thomas, james havard",cassandra,bronze,1912
7731,"jones, george",[title not known],ink and graphite on paper,
57925,"turner, joseph mallord william",the drachenfels from the rhine,graphite on paper,1835
34024,"turner, joseph mallord william","two barges, frozen up, a dinghy and figures",graphite on paper,1814
120385,"haerizadeh, rokni",fictionville: praying for each other’s salvation,gouache and watercolour on 9 photographs on paper,2011
98462,"ruscha, edward","pretty eyes, electric bills",pastel and graphite on paper,1976
6338,"duncombe, susanna","bust portrait of a young man facing to the right, wearing a laurel wreath",graphite on paper,
58236,"turner, joseph mallord william","view up the elbe to lilienstein, pfaffenstein and königstein, from the bastei, with the viewing platform in the centre left",graphite on paper,1835
37192,"turner, joseph mallord william",launceston castle from the south,graphite on paper,1814
12486,"richards, ceri",improvisation no. 9 upon the dawn,lithograph on paper,1971
30337,"turner, joseph mallord william",castle and cliffs at north queensferry,graphite on paper,1801
12563,"richmond, sir william blake","the libyan desert, sunset",oil paint on wood,1888
101516,"hopton, georgie",the little window,silkscreen on paper,2008
3899,"dine, jim",[no title],lithograph on paper,1973
14427,"trevelyan, julian",hungry people,gouache and intaglio print on paper,1936
54146,"turner, joseph mallord william",loch leven and the pap of glencoe from the approach to ballachulish,graphite on paper,1831
51512,"turner, joseph mallord william",a palace (?the luxembourg),graphite on paper,1832
57847,"turner, joseph mallord william",würzburg: the residenz,graphite on paper,1840
120600,"kitadai, shozo",composition for apn,"photograph, gelatin silver print on paper",1953
26536,"coldwell, paul",[title not known],lithograph on paper,1998
19499,"le brun, christopher, pra",[no title],etching on paper,1990
18810,"stanfield, clarkson frederick","roque de guet, guernsey, engraved by j.c. armytage",line engraving on paper,1836
37156,"turner, joseph mallord william",trees in the avenue at farnley,graphite on paper,1814
9386,"matisse, henri",reclining nude ii,bronze,1927
30562,"turner, joseph mallord william","dunkeld: the town from the river’s edge, looking west, with craigie barns to the right and creag an eunaich beyond",graphite on paper,1801
13283,"sedgley, peter",looking glass no. 8,screenprint on paper,1966
56863,"turner, joseph mallord william","ostend: outskirts of town, with windmill, church towers, etc.",graphite on paper,1833
29094,"turner, joseph mallord william",study of a swan rising from the water,graphite on paper,1798
19447,"kapoor, anish",untitled,"acrylic paint, gouache, graphite and oil paint on paper",1989
118793,"wilson, fred",congo,acrylic paint on canvas,2009
17379,"kapoor, anish",untitled 3,intaglio print on paper,1988
55408,"turner, joseph mallord william",spa from the hillside,graphite on paper,1839
21779,gilbert & george,deatho knocko,"56 photographs, gelatin silver print on paper mounted onto board",1982
39565,"turner, joseph mallord william",inscription by turner: a remedy for drinking water in excess,graphite on paper,1818
6839,"house, gordon",crystal earth,intaglio print on paper,1978
1397,"boyle, mark",holland park avenue study,earth on resin and fibreglass,1967
45415,"turner, joseph mallord william",boats in a choppy sea,graphite on paper,1823
52526,"turner, joseph mallord william","?bridport (west bay), dorset",watercolour and graphite on paper,1828
16666,"turner, joseph mallord william","winander-mere, westmorland, engraved by j.t. willmore",engraving on paper,1837
24766,"beaumont, sir george howland, bt",[title not known],graphite and chalk on paper,
9481,"michell, keith",metamorphosis,lithograph on paper,1973
11623,"phillips, esq tom",8,lithograph on paper,1972
37428,"turner, joseph mallord william",continuation of figurehead and bows of vessels,graphite on paper,1814
39606,"turner, joseph mallord william",study of a cloudy sky,graphite on paper,1808
61205,"turner, joseph mallord william",ruins of ?the palace at andernach,graphite on paper,1830
10891,"noland, kenneth",gift,acrylic paint on canvas,1961
24967,"wharncliffe, lady",[title not known],graphite on paper,
52663,"turner, joseph mallord william",ship at sea,watercolour on paper,1820
7778,"kadishman, menashe",[title not known],screenprint on paper,1969
14898,"turner, joseph mallord william",lake nemi,oil paint on canvas,1827
61504,"turner, joseph mallord william",a steamer off the coast,chalk on paper,1840
31600,"turner, joseph mallord william",fishing smacks off calais pier,graphite on paper,1802
59167,"turner, joseph mallord william","a boat in front of san giorgio, with the island of la grazie in the distance on the left",graphite on paper,1833
62566,"turner, joseph mallord william",inside the church of notre-dame and st-laurent at eu,graphite and watercolour on paper,1845
62206,"turner, joseph mallord william",mountains. ?rigi [turner],graphite on paper,1844
30135,"turner, joseph mallord william","the ruins of fast castle on a cliff above the sea, with distant hills",graphite on paper,1801
55267,"turner, joseph mallord william",[inscriptions by turner],graphite and ink on paper,1834
61940,"turner, joseph mallord william",a storm,graphite on paper,1830
18846,"turner, joseph mallord william",château de tancarville with town of quilleboeuf,intaglio print on paper,1834
69969,"bowen, denis",red and black (flying city series),screenprint on paper,1956
8581,"leighton, lord frederic",study for ‘the discovery of juliet apparently lifeless’,oil paint on wood,1858
21978,"baselitz, georg",[no title],drypoint on paper,1995
10062,"moore, henry, om, ch",trees iv tortured roots,etching on paper,1979
47219,"turner, joseph mallord william",a windmill,graphite on paper,1824
48058,"turner, joseph mallord william",yachts off cowes castle,graphite on paper,1827
14494,"tryon, wyndham",fraga,ink on paper,1925
51264,"turner, joseph mallord william",sketches for ‘music at east cowes castle’ and ‘two women and a letter’,graphite on paper,1832
114148,"sedira, zineb",floating coffins,"video, 14 monitors, colour and sound",2009
4428,"flanagan, barry",cat,etching on paper,1976
3194,"daniell, william","kinnaird head, aberdeenshire",copper plate,1814
6357,"duncombe, susanna",cutout of a lady in a dress with pink ribbons (unfinished),"graphite, watercolour and gouache on card",
63920,"turner, joseph mallord william",offset: fire at the grand storehouse of the tower of london,watercolour offset on paper,
53847,"turner, joseph mallord william","sketches of loch skavaig from north of elgol; and the continuation of a view of askaig, islay",graphite on paper,1831
122948,"flanagan, barry",funds: ten,linocut and thumbprint on paper,1969
4063,"dyce, william","pegwell bay, kent - a recollection of october 5th 1858",oil paint on canvas,1858
17256,"flaxman, john",classical figure studies,graphite on paper,1792
9433,"mehring, howard",crest,acrylic paint on canvas,1966
37673,"turner, joseph mallord william",castle ruins,graphite on paper,1810
63369,"turner, joseph mallord william",study of sky,gouache and watercolour on paper,1830
49630,"turner, joseph mallord william",bridgnorth: views from the south and north,graphite on paper,1831
45003,"turner, joseph mallord william",tantallon castle and the bass rock,graphite on paper,1822
41377,"turner, joseph mallord william",a landscape,graphite on paper,1819
64415,"turner, joseph mallord william",sketch for ‘shoeburyness fisherman hailing a whitstable hoy’,ink and graphite on paper,1808
22485,"cozens, alexander","a wooded coast, a ship in the distance to the right","graphite, watercolour and ink on paper",
38585,"turner, joseph mallord william",view towards whorlton and wycliffe hall,graphite on paper,1816
16345,"winner, gerd",8. sheet b,screenprint on paper,1973
53827,"turner, joseph mallord william",the foot of ben venue from the east end of loch katrine,graphite on paper,1831
118164,"mccullin, don",jean’s hands,"photograph, gelatin silver print on paper",1980
40107,"turner, joseph mallord william","la haye sainte, waterloo, from the north with la belle alliance in the distance",graphite on paper,1817
50063,"turner, joseph mallord william",looking towards the west end of petworth church: the organ gallery,gouache and watercolour on paper,1827
18864,"turner, joseph mallord william",st germains,intaglio print on paper,1835
113994,"hine, lewis","boy who carried barrels. robert saunders, 10 years old. lives waquoit - is the son of the boss. mother picks too","photograph, gelatin silver print on paper",1911
3497,"daniell, william","duff-house, banff",aquatint on paper,1814
10804,"nolan, sir sidney",inferno vi,screenprint on paper,1967
105993,"beuys, joseph",joseph beuys. gallery krzysztofory,print on paper,1987
30060,"turner, joseph mallord william","a ruined castle or abbey, in the distance",graphite on paper,1801
